iter	Passed	Remaining
384	12521	20001
385	12545	19955
386	12567	19905
387	12591	19860
388	12623	19828
389	12654	19793
390	12684	19756
391	12713	19719
392	12734	19668
393	12763	19631
394	12786	19583
395	12824	19561
396	12848	19516
397	12881	19484
398	12909	19444
399	12936	19405
400	12965	19367
401	13005	19346
402	13038	19314
403	13070	19281
404	13094	19237
405	13126	19205
406	13152	19163
407	13181	19125
408	13207	19084
409	13233	19043
410	13256	18998
411	13281	18955
412	13308	18915
413	13335	18875
414	13357	18828
415	13381	18786
416	13402	18738
417	13425	18693
418	13457	18660
419	13486	18623
420	13514	18586
421	13558	18571
422	13581	18526
423	13605	18483
424	13636	18449
425	13672	18421
426	13696	18379
427	13738	18361
428	13767	18323
429	13793	18284
430	13823	18249
431	13842	18200
432	13862	18152
433	13891	18116
434	13924	18086
435	13957	18054
436	13980	18011
437	14003	17967
438	14029	17928
439	14055	17888
440	14082	17850
441	14110	17813
442	14146	17786
443	14177	17753
444	14201	17712
445	14229	17675
446	14257	17638
447	14281	17596
448	14304	17553
449	14330	17514
450	14351	17469
451	14375	17429
452	14398	17386
453	14423	17346
454	14446	17303
455	14470	17262
456	14495	17223
457	14516	17178
458	14541	17138
459	14562	17095
460	14583	17050
461	14605	17008
462	14631	16969
463	14651	16925
464	14674	16883
465	14701	16846
466	14726	16807
467	14749	16766
468	14771	16724
469	14805	16695
470	14838	16665
471	14860	16623
472	14905	16606
473	14934	16572
474	14960	16535
475	14983	16493
476	15011	16459
477	15038	16422
478	15061	16382
479	15090	16347
480	15114	16308
481	15174	16307
482	15212	16283
483	15235	16242
484	15259	16203
485	15286	16166
486	15314	16132
487	15333	16087
488	15353	16043
489	15375	16003
490	15405	15970
491	15426	15927
492	15449	15887
493	15470	15846
494	15492	15804
495	15512	15763
496	15531	15718
497	15563	15688
498	15584	15646
499	15605	15605
500	15645	15583
501	15674	15549
502	15694	15507
503	15719	15469
504	15744	15432
505	15768	15394
506	15793	15357
507	15818	15320
508	15848	15288
509	15876	15254
510	15910	15225
511	15935	15188
512	15956	15147
513	15979	15109
514	16003	15071
515	16030	15036
516	16059	15003
517	16086	14968
518	16112	14932
519	16142	14900
520	16169	14865
521	16203	14838
522	16225	14798
523	16259	14769
524	16287	14735
525	16315	14702
526	16340	14666
527	16363	14628
528	16388	14592
529	16418	14559
530	16459	14537
531	16490	14506
532	16527	14481
533	16564	14455
534	16590	14420
535	16622	14389
536	16651	14356
537	16680	14323
538	16713	14294
539	16754	14272
540	16779	14236
541	16803	14199
542	16827	14162
543	16865	14137
544	16887	14098
545	16912	14062
546	16963	14048
547	16996	14018
548	17021	13982
549	17055	13954
550	17080	13918
551	17107	13884
552	17156	13867
553	17209	13854
554	17238	13821
555	17271	13792
556	17303	13761
557	17332	13729
558	17360	13695
559	17392	13665
560	17431	13640
561	17465	13611
562	17497	13581
563	17527	13549
564	17561	13520
565	17589	13487
566	17617	13454
567	17658	13430
568	17692	13401
569	17725	13371
570	17761	13344
571	17794	13314
572	17832	13288
573	17865	13259
574	17896	13227
575	17932	13200
576	17968	13172
577	18001	13143
578	18031	13111
579	18058	13076
580	18094	13049
581	18125	13018
582	18167	12994
583	18194	12960
584	18225	12928
585	18259	12900
586	18295	12871
587	18330	12844
588	18367	12816
589	18392	12781
590	18441	12762
591	18468	12728
592	18496	12694
593	18536	12669
594	18568	12639
595	18598	12606
596	18623	12571
597	18646	12534
598	18672	12500
599	18705	12470
600	18729	12434
601	18754	12399
602	18783	12366
603	18812	12334
604	18848	12306
605	18874	12271
606	18906	12240
607	18949	12217
608	18997	12197
609	19026	12164
610	19059	12134
611	19088	12102
612	19119	12070
613	19163	12047
614	19190	12013
615	19236	11991
616	19264	11958
617	19293	11925
618	19317	11890
619	19346	11857
620	19379	11827
621	19405	11792
622	19431	11758
623	19465	11728
624	19489	11693
625	19521	11662
626	19547	11628
627	19575	11595
628	19602	11562
629	19631	11529
630	19668	11501
631	19693	11466
632	19716	11431
633	19755	11404
634	19793	11377
635	19818	11342
636	19845	11309
637	19872	11275
638	19912	11249
639	19948	11220
640	19986	11193
641	20018	11162
642	20047	11130
643	20077	11098
644	20103	11064
645	20128	11030
646	20153	10995
647	20182	10963
648	20204	10927
649	20233	10895
650	20257	10860
651	20282	10825
652	20304	10789
653	20325	10753
654	20352	10719
655	20369	10681
656	20392	10646
657	20418	10612
658	20438	10575
659	20459	10539
660	20481	10503
661	20497	10465
662	20517	10429
663	20537	10392
664	20562	10358
665	20583	10322
666	20606	10287
667	20635	10255
668	20668	10226
669	20695	10193
670	20719	10159
671	20742	10124
672	20769	10091
673	20794	10057
674	20814	10021
675	20845	9991
676	20867	9955
677	20895	9923
678	20926	9893
679	20952	9860
680	20977	9826
681	21000	9792
682	21023	9757
683	21047	9723
684	21068	9688
685	21105	9660
686	21128	9626
687	21156	9594
688	21177	9559
689	21198	9524
690	21222	9490
691	21244	9455
692	21286	9429
693	21308	9395
694	21330	9360
695	21352	9326
696	21374	9292
697	21408	9262
698	21431	9228
699	21451	9193
700	21470	9158
701	21492	9123
702	21514	9089
703	21535	9054
704	21565	9023
705	21595	8992
706	21620	8959
707	21654	8930
708	21677	8897
709	21706	8865
710	21732	8833
711	21750	8797
712	21771	8763
713	21807	8735
714	21832	8702
715	21855	8668
716	21880	8636
717	21901	8601
718	21920	8567
719	21948	8535
720	21971	8502
721	21991	8467
722	22016	8435
723	22038	8401
724	22061	8368
725	22087	8336
726	22109	8302
727	22132	8269
728	22155	8236
729	22191	8207
730	22212	8174
731	22234	8140
732	22267	8110
733	22288	8077
734	22313	8044
735	22336	8011
736	22362	7979
737	22391	7949
738	22412	7915
739	22437	7883
740	22457	7849
741	22484	7818
742	22509	7785
743	22532	7753
744	22556	7720
745	22582	7688
746	22602	7655
747	22624	7622
748	22664	7595
749	22685	7561
750	22710	7529
751	22732	7497
752	22754	7463
753	22780	7432
754	22805	7400
755	22840	7371
756	22861	7338
757	22883	7305
758	22904	7272
759	22928	7240
760	22950	7207
761	22968	7173
762	22989	7140
763	23010	7107
764	23037	7076
765	23065	7046
766	23092	7014
767	23116	6983
768	23167	6959
769	23203	6930
770	23230	6899
771	23253	6867
772	23289	6839
773	23309	6806
774	23333	6774
775	23353	6741
776	23378	6709
777	23400	6677
778	23426	6646
779	23450	6614
780	23472	6582
781	23498	6550
782	23522	6519
783	23547	6487
784	23577	6457
785	23602	6426
786	23628	6395
787	23652	6363
788	23675	6331
789	23697	6299
790	23716	6266
791	23737	6234
792	23759	6202
793	23781	6169
794	23809	6139
795	23837	6109
796	23860	6077
797	23882	6045
798	23914	6016
799	23931	5982
800	23956	5951
801	23978	5919
802	24013	5891
803	24038	5860
804	24059	5828
805	24090	5798
806	24123	5769
807	24144	5737
808	24180	5708
809	24201	5676
810	24230	5646
811	24250	5614
812	24281	5585
813	24300	5552
814	24333	5523
815	24356	5492
816	24379	5460
817	24403	5429
818	24427	5398
819	24453	5367
820	24479	5337
821	24505	5306
822	24531	5275
823	24552	5244
824	24586	5215
825	24612	5184
826	24631	5152
827	24651	5120
828	24673	5089
829	24706	5060
830	24725	5028
831	24746	4996
832	24766	4965
833	24786	4933
834	24804	4901
835	24827	4870
836	24852	4839
837	24877	4809
838	24901	4778
839	24923	4747
840	24946	4716
841	24965	4684
842	24987	4653
843	25010	4622
844	25046	4594
845	25067	4563
846	25094	4532
847	25120	4502
848	25144	4472
849	25167	4441
850	25195	4411
851	25237	4383
852	25256	4352
853	25277	4321
854	25296	4290
855	25315	4258
856	25345	4229
857	25402	4204
858	25420	4172
859	25436	4140
860	25459	4110
861	25480	4079
862	25506	4049
863	25529	4018
864	25552	3988
865	25569	3956
866	25589	3925
867	25609	3894
868	25628	3863
869	25666	3835
870	25689	3804
871	25720	3775
872	25742	3744
873	25763	3714
874	25785	3683
875	25806	3652
876	25833	3623
877	25861	3593
878	25882	3562
879	25899	3531
880	25925	3501
881	25948	3471
882	25972	3441
883	25992	3410
884	26014	3380
885	26031	3349
886	26047	3318
887	26063	3287
888	26086	3257
889	26107	3226
890	26123	3195
891	26143	3165
892	26162	3134
893	26189	3105
894	26213	3075
895	26234	3045
896	26257	3015
897	26291	2986
898	26310	2955
899	26333	2925
900	26356	2895
901	26380	2866
902	26405	2836
903	26435	2807
904	26453	2776
905	26476	2746
906	26495	2716
907	26514	2686
908	26536	2656
909	26559	2626
910	26577	2596
911	26597	2566
912	26611	2535
913	26633	2506
914	26653	2476
915	26683	2446
916	26700	2416
917	26718	2386
918	26731	2356
919	26741	2325
920	26755	2294
921	26771	2264
922	26783	2234
923	26802	2204
924	26819	2174
925	26834	2144
926	26850	2114
927	26869	2084
928	26881	2054
929	26898	2024
930	26914	1994
931	26927	1964
932	26947	1935
933	26968	1905
934	26983	1875
935	26995	1845
936	27026	1817
937	27039	1787
938	27050	1757
939	27059	1727
940	27079	1697
941	27090	1667
942	27105	1638
943	27117	1608
944	27134	1579
945	27155	1550
946	27173	1520
947	27187	1491
948	27196	1461
949	27207	1431
950	27222	1402
951	27233	1373
952	27244	1343
953	27258	1314
954	27273	1285
955	27285	1255
956	27294	1226
957	27313	1197
958	27329	1168
959	27341	1139
960	27353	1110
961	27368	1081
962	27381	1052
963	27392	1022
964	27401	993
965	27415	964
966	27426	935
967	27444	907
968	27462	878
969	27473	849
970	27489	821
971	27500	792
972	27520	763
973	27532	734
974	27552	706
975	27565	677
976	27577	649
977	27591	620
978	27605	592
979	27622	563
980	27632	535
981	27645	506
982	27664	478
983	27675	450
984	27685	421
985	27700	393
986	27710	364
987	27720	336
988	27732	308
989	27744	280
990	27756	252
991	27772	223
992	27783	195
993	27796	167
994	27807	139
995	27829	111
996	27838	83
997	27852	55
998	27868	27
999	27879	0
