model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,train_time_s
XGBOOST,0.6626127467909931,0.004247979948940067,17169.79587285309,258.85458930924364,73208.84193361411,4106.567981054358,37.0191313774903,0.3051361754981799,72.24252367019653
LIGHTGBM,0.6622360767723137,0.004165392029439953,17189.164824109852,259.36169033863223,73220.0015209932,4131.190952675633,37.05719142990265,0.2803962317266565,126.88961291313171
CATBOOST,0.6592780291308982,0.004451678416193113,17260.738951665553,266.56501681538197,73360.53207674586,4128.315494430177,37.25893063797962,0.2778301753820257,48.27037286758423
RANDOM FOREST,0.6558244380537946,0.004374063243041026,17311.293641872948,258.8770004594654,73298.64570893496,4115.360465506024,37.56364374265274,0.3141517634547206,357.65750074386597
RIDGE,0.6188888240501098,0.003996671425718587,18188.6172904068,260.92490664694446,74300.29230055695,4082.8598529905057,40.1770182393225,0.31181966497139924,0.19302082061767578
